Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0.0,0.9375,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['lemes', 'banget', 'iya', 'mulut', 'beli', 'beli', 'obat', 'mikirr', 'drmn', 'beli', 'obat', 'kerja', 'devil']"
1,4.0,0.9326,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['cegah', 'mata', 'rantai', 'covid', 'number', 'mari', 'rumah', 'minggu', 'repeated', 'mata_rantai', 'mata_rantai', 'mata_rantai']"
2,4.0,0.9027,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['mohon', 'yaallah', 'moga', 'wabah', 'covid', 'number', 'hilang', 'ramadhan']"
3,4.0,0.927,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['pemprov', 'papua', 'naik', 'status', 'tanggap', 'darurat', 'covid', 'number', 'allcaps', 'opm', 'allcaps']"
4,2.0,0.8749,"covid, number, repeated, jaga_jarak, kena, tangan, jaga, takut, orang, salam","['covid', 'nyampe', 'prigen', 'mbak', 'aduh', 'bohong']"
5,6.0,0.9326,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['nyuruh', 'orang', 'pintar', 'togog', 'kerumun', 'orang', 'nularin', 'covid', 'number', 'lol', 'mikir', 'repeated']"
6,1.0,0.8905,"allcaps, covid, number, tenaga_medis, iya, cegah, repeated, sebar, moga, medis","['pikir', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid']"
7,4.0,0.9416,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['selamat', 'pagi', 'jum', 'at', 'jum', 'at', 'empat', 'pandemi', 'covid', 'number', 'moga', 'kasih', 'sehat', 'moga']"
8,0.0,0.9687,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['hikmah', 'musibah', 'covid', 'number', 'moga', 'jabat', 'perintah', 'sadar', 'depan', 'kaya', 'negara', 'sejahtera', 'rakyat', 'indonesia', 'kaya', 'keluarga', 'penting', 'golong', 'bela', 'penting', 'allcaps', 'wna', 'allcaps', 'jelas', 'luka', 'penting', 'rakyat']"
9,0.0,0.9602,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['cegah', 'covid', 'number', 'serta', 'jajar', 'polsek', 'ranji', 'aksi', 'peduli', 'bagi', 'masker', 'gratis', 'guna', 'jalan', 'giat', 'polsek', 'ranji', 'kamis', 'number', 'number', 'febriputraguci']"
10,1.0,0.9757,"allcaps, covid, number, tenaga_medis, iya, cegah, repeated, sebar, moga, medis","['iya', 'allah', 'mohon', 'mu', 'kenan', 'doa', 'doa', 'rana', 'sungguh', 'engkau', 'maha', 'asih', 'maha', 'sayang', 'repeated', 'iya', 'allah', 'lindung', 'sakit', 'jangkit', 'covid', 'number', 'repeated', 'moga', 'repeated', 'moga', 'iya', 'rabbal', 'lamin', 'repeated', 'stay', 'at', 'home', 'repeated', 'rumah']"
11,4.0,0.927,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['sah', 'repeated', 'cegah', 'covid', 'number', 'luas', 'perintah', 'revisi', 'libur', 'cuti', 'number']"
12,5.0,0.9539,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['bencana', 'nasional', 'covid', 'number', 'allcaps', 'dprd', 'allcaps', 'indramayu', 'allcaps', 'bumd', 'allcaps', 'ringan', 'tagih', 'kredit', 'tagih', 'allcaps', 'pdam', 'allcaps']"
13,0.0,0.9562,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['cegah', 'covid', 'number', 'pemprov', 'allcaps', 'fkub', 'allcaps', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'serentak', 'allcaps', 'opm', 'allcaps', 'papua_barat', 'papua_barat', 'papua_barat']"
14,6.0,0.9698,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['pagi', 'repeated', 'iya', 'daerah', 'cipinang', 'selatan', 'rt', 'number', 'rw', 'number', 'nya', 'prnh', 'aware', 'warga', 'bantu', 'transparansi', 'jadi', 'covid', 'jg', 'tindak', 'semprot', 'disinfektan', 'dbd', 'jg', 'fogging', 'uang', 'kas', 'jalan']"
15,4.0,0.9583,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['skrinews', 'pdt', 'allcaps', 'jimmy', 'allcaps', 'allcaps', 'mari', 'rang', 'virus', 'corona', 'allcaps', 'allcaps', 'covid', 'allcaps', 'number', 'allcaps', 'jaga', 'tanah', 'papua', 'allcaps']"
16,6.0,0.9676,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['number', 'suruh', 'covid', 'number', 'pergi', 'jaga', 'bersih', 'tertib', 'covid', 'number', 'didik', 'jaga', 'bersih', 'badan', 'pakai', 'barang', 'lingkung', 'rajin', 'mandi', 'cuci', 'tangan', 'sembarang', 'buang', 'sampah', 'cuci_tangan', 'cuci_tangan']"
17,0.0,0.9742,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['menteri', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'umat', 'islam', 'provinsi', 'papua', 'barat', 'imbau', 'tolak', 'makam', 'jenazah', 'pasien', 'positif', 'jangkit', 'covid', 'number', 'allcaps', 'opm', 'allcaps', 'papua_barat', 'papua_barat', 'makam_jenazah', 'papua_barat', 'papua_barat', 'makam_jenazah', 'papua_barat', 'papua_barat', 'makam_jenazah']"
18,5.0,0.9583,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['bangun', 'tidur', 'seruput', 'kopi', 'ibuk', 'mencak', 'karuan', 'orang', 'pahlawan', 'garis', 'covid', 'number', 'tinggal', 'dunia', 'tolak', 'warga', 'tepat', 'sekolompok', 'warga', 'edukasi']"
19,0.0,0.927,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['mudik', 'ancam', 'sebar', 'allcaps', 'covid', 'allcaps', 'number', 'luas', 'tandatangani', 'petisi', 'via']"
20,4.0,0.8681,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['berita', 'tengok', 'muflis', 'allcaps', 'dungu', 'allcaps', 'kecuali', 'berita', 'allcaps', 'bohong', 'allcaps', 'kudeta', 'allcaps', 'mbs', 'allcaps', 'number', 'pangeran', 'kena', 'allcaps', 'covid', 'allcaps', 'number', 'sumber', 'kaum', 'allcaps', 'liberal', 'allcaps']"
